Table,NAME,FMTName,Type,Value,Label,FLAT,METRO
AHS2015,JOBCOST2,JOBCOST,N,.M,Not Reported,YES,YES
AHS2015,JOBCOST20,JOBCOST,N,9999998,"$9,999,998 or more",YES,YES
AHS2015,JOBCOST20,JOBCOST,N,.M,Not Reported,YES,YES
AHS2015,JOBCOST21,JOBCOST,N,9999998,"$9,999,998 or more",YES,YES
AHS2015,JOBCOST21,JOBCOST,N,.M,Not Reported,YES,YES
AHS2015,JOBCOST22,JOBCOST,N,9999998,"$9,999,998 or more",YES,YES
AHS2015,JOBCOST22,JOBCOST,N,.M,Not Reported,YES,YES
AHS2015,JOBCOST23,JOBCOST,N,9999998,"$9,999,998 or more",YES,YES
AHS2015,JOBCOST23,JOBCOST,N,.M,Not Reported,YES,YES
AHS2015,JOBCOST24,JOBCOST,N,9999998,"$9,999,998 or more",YES,YES
AHS2015,JOBCOST24,JOBCOST,N,.M,Not Reported,YES,YES
AHS2015,JOBCOST25,JOBCOST,N,9999998,"$9,999,998 or more",YES,YES
AHS2015,JOBCOST25,JOBCOST,N,.M,Not Reported,YES,YES
AHS2015,JOBCOST26,JOBCOST,N,9999998,"$9,999,998 or more",YES,YES
AHS2015,JOBCOST26,JOBCOST,N,.M,Not Reported,YES,YES
AHS2015,JOBCOST3,JOBCOST,N,9999998,"$9,999,998 or more",YES,YES
AHS2015,JOBCOST3,JOBCOST,N,.M,Not Reported,YES,YES
AHS2015,JOBCOST4,JOBCOST,N,9999998,"$9,999,998 or more",YES,YES
AHS2015,JOBCOST4,JOBCOST,N,.M,Not Reported,YES,YES
AHS2015,JOBCOST5,JOBCOST,N,9999998,"$9,999,998 or more",YES,YES
AHS2015,JOBCOST5,JOBCOST,N,.M,Not Reported,YES,YES
AHS2015,JOBCOST6,JOBCOST,N,9999998,"$9,999,998 or more",YES,YES
AHS2015,JOBCOST6,JOBCOST,N,.M,Not Reported,YES,YES
AHS2015,JOBCOST7,JOBCOST,N,9999998,"$9,999,998 or more",YES,YES
AHS2015,JOBCOST7,JOBCOST,N,.M,Not Reported,YES,YES
AHS2015,JOBCOST8,JOBCOST,N,9999998,"$9,999,998 or more",YES,YES
AHS2015,JOBCOST8,JOBCOST,N,.M,Not Reported,YES,YES
AHS2015,JOBCOST9,JOBCOST,N,9999998,"$9,999,998 or more",YES,YES
AHS2015,JOBCOST9,JOBCOST,N,.M,Not Reported,YES,YES
AHS2015,JOBDIY1,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY1,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY10,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY10,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY11,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY11,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY12,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY12,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY13,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY13,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY14,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY14,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY15,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY15,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY16,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY16,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY17,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY17,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY18,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY18,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY19,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY19,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY2,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY2,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY20,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY20,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY21,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY21,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY22,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY22,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY23,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY23,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY24,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY24,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY25,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY25,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY26,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY26,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY3,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY3,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY4,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY4,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY5,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY5,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY6,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY6,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY7,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY7,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY8,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY8,JOBDIY,C,2,No,YES,YES
AHS2015,JOBDIY9,JOBDIY,C,1,Yes,YES,YES
AHS2015,JOBDIY9,JOBDIY,C,2,No,YES,YES
AHS2015,JOBFUNDS1,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS1,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS1,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS1,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS1,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS1,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS1,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS1,JOBFUNDS,C,M,Not Reported,YES,YES
AHS2015,JOBFUNDS10,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS10,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS10,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS10,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS10,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS10,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS10,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS10,JOBFUNDS,C,M,Not Reported,YES,YES
AHS2015,JOBFUNDS11,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS11,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS11,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS11,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS11,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS11,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS11,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS11,JOBFUNDS,C,M,Not Reported,YES,YES
AHS2015,JOBFUNDS12,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS12,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS12,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS12,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS12,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS12,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS12,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS12,JOBFUNDS,C,M,Not Reported,YES,YES
AHS2015,JOBFUNDS13,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS13,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS13,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS13,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS13,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS13,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS13,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS13,JOBFUNDS,C,M,Not Reported,YES,YES
AHS2015,JOBFUNDS14,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS14,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS14,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS14,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS14,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS14,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS14,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS14,JOBFUNDS,C,M,Not Reported,YES,YES
AHS2015,JOBFUNDS15,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS15,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS15,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS15,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS15,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS15,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS15,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS15,JOBFUNDS,C,M,Not Reported,YES,YES
AHS2015,JOBFUNDS16,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS16,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS16,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS16,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS16,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS16,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS16,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS16,JOBFUNDS,C,M,Not Reported,YES,YES
AHS2015,JOBFUNDS17,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS17,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS17,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS17,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS17,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS17,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS17,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS17,JOBFUNDS,C,M,Not Reported,YES,YES
AHS2015,JOBFUNDS18,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS18,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS18,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS18,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS18,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS18,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS18,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS18,JOBFUNDS,C,M,Not Reported,YES,YES
AHS2015,JOBFUNDS19,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS19,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS19,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS19,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS19,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS19,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS19,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS19,JOBFUNDS,C,M,Not Reported,YES,YES
AHS2015,JOBFUNDS2,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS2,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS2,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS2,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS2,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS2,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS2,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS2,JOBFUNDS,C,M,Not Reported,YES,YES
AHS2015,JOBFUNDS20,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS20,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS20,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS20,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS20,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS20,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS20,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS20,JOBFUNDS,C,M,Not Reported,YES,YES
AHS2015,JOBFUNDS21,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS21,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS21,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS21,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS21,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS21,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS21,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS21,JOBFUNDS,C,M,Not Reported,YES,YES
AHS2015,JOBFUNDS22,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS22,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS22,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS22,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS22,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS22,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS22,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS22,JOBFUNDS,C,M,Not Reported,YES,YES
AHS2015,JOBFUNDS23,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS23,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS23,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS23,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS23,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS23,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS23,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS23,JOBFUNDS,C,M,Not Reported,YES,YES
AHS2015,JOBFUNDS24,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS24,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS24,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS24,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS24,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS24,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS24,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS24,JOBFUNDS,C,M,Not Reported,YES,YES
AHS2015,JOBFUNDS25,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS25,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS25,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS25,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS25,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS25,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS25,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS25,JOBFUNDS,C,M,Not Reported,YES,YES
AHS2015,JOBFUNDS26,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS26,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS26,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS26,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS26,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS26,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS26,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS26,JOBFUNDS,C,M,Not Reported,YES,YES
AHS2015,JOBFUNDS3,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS3,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS3,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS3,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS3,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS3,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS3,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS3,JOBFUNDS,C,M,Not Reported,YES,YES
AHS2015,JOBFUNDS4,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS4,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS4,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS4,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS4,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS4,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS4,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS4,JOBFUNDS,C,M,Not Reported,YES,YES
AHS2015,JOBFUNDS5,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS5,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS5,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS5,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS5,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS5,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS5,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS5,JOBFUNDS,C,M,Not Reported,YES,YES
AHS2015,JOBFUNDS6,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS6,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS6,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS6,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS6,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS6,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS6,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS6,JOBFUNDS,C,M,Not Reported,YES,YES
AHS2015,JOBFUNDS7,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS7,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS7,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS7,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS7,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS7,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS7,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS7,JOBFUNDS,C,M,Not Reported,YES,YES
AHS2015,JOBFUNDS8,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS8,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS8,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS8,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS8,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS8,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS8,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS8,JOBFUNDS,C,M,Not Reported,YES,YES
AHS2015,JOBFUNDS9,JOBFUNDS,C,1,Cash from savings,YES,YES
AHS2015,JOBFUNDS9,JOBFUNDS,C,2,Cash from refinancing home,YES,YES
AHS2015,JOBFUNDS9,JOBFUNDS,C,3,A home equity loan,YES,YES
AHS2015,JOBFUNDS9,JOBFUNDS,C,4,Homeowner's insurance settlement,YES,YES
AHS2015,JOBFUNDS9,JOBFUNDS,C,5,Credit card or retail store charge card,YES,YES
AHS2015,JOBFUNDS9,JOBFUNDS,C,6,Contractor arranged financing,YES,YES
AHS2015,JOBFUNDS9,JOBFUNDS,C,7,Other,YES,YES
AHS2015,JOBFUNDS9,JOBFUNDS,C,M,Not Reported,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,01,Earthquake damage required extensive repairs to home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,02,"Tornado, hurricane, etc. damage required extensive repairs to home",YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,03,Landslide damage required extensive repairs to home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,04,Lightning or fire damage required extensive repairs to home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,05,Flood damage required extensive repairs to home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,06,Other natural disaster damage required extensive repairs to home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,07,Added bedroom onto home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,08,Added bathroom onto home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,09,Added recreation room onto home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,10,Added kitchen onto home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,11,Added other inside room onto home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,12,Bathroom remodeled,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,13,Kitchen remodeled,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,14,Attached garage or carport added to home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,15,"Porch, deck, patio, or terrace added to home",YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,16,Added/replaced roof over entire home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,17,Added/replaced siding on home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,18,Added/replaced doors or windows in home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,19,"Added/replaced chimney, stairs or other exterior addition",YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,20,Added/replaced insulation in home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,21,Added/replaced internal water pipes in home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,22,Added/replaced plumbing fixtures in home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,23,"Added/replaced electrical wiring, fuse boxes, or breaker switches in home",YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,24,Added/replaced security system in home,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,25,"Added/replaced carpeting, flooring, paneling, or ceiling tiles",YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,26,Added/replaced central air conditioning,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,27,Added/replaced built-in heating equipment,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,28,Added/replaced septic tank,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,29,Added/replaced water heater,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,30,Added/replaced built-in dishwasher or garbage disposal,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,31,Other major improvements or repairs inside home (up to three could be reported),YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,32,Added/replaced driveways or walkways,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,33,Added/replaced fencing or walls,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,34,"Added/replaced swimming pool, tennis court, or other recreational structure",YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,35,"Added/replaced shed, detached garage, or other building",YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,36,Added/replaced landscaping or sprinkler system,YES,YES
AHS2015,JOBTYPE1,JOBTYPE,C,37,Other major improvements or repairs to lot or yard (up to three could be reported),YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,01,Earthquake damage required extensive repairs to home,YES,YES
AHS2015,JOBTYPE10,JOBTYPE,C,02,"Tornado, hurricane, etc. damage required extensive repairs to home",YES,YES
